block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
LR

2	104	3	4	2	I	1	0	526	0	Ⴟ	cut_r_stereo_44KHz.wav
2	105	2	2	1	C	2	1	914	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	106	3	4	2	I	2	0	1116	0	Ⴟ	cut_r_stereo_44KHz.wav
2	107	4	4	2	I	1	0	793	0	Ⴊ	cut_r_stereo_44KHz.wav
2	108	1	1	1	C	1	0	1931	0	Ⴡ	cut_ui_stereo_44KHz.wav
2	109	4	3	2	I	1	0	809	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	110	2	1	0	C	1	1	1439	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	111	3	3	2	I	1	0	926	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	112	1	2	0	C	1	1	900	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	113	3	4	2	I	2	0	765	0	Ⴟ	cut_r_stereo_44KHz.wav
2	114	2	1	0	C	1	1	963	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	115	4	4	2	I	2	0	1479	0	Ⴊ	cut_r_stereo_44KHz.wav
2	116	1	2	0	C	1	1	763	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	117	4	3	2	I	2	0	962	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	118	1	1	1	C	2	1	1101	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	119	3	3	2	I	1	0	705	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	120	2	2	1	C	2	1	1091	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	121	1	2	0	C	1	1	784	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	122	2	2	1	C	2	1	821	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	123	3	4	2	I	1	0	643	0	Ⴟ	cut_r_stereo_44KHz.wav
2	124	4	3	2	I	1	0	1377	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	125	1	1	1	C	2	1	1418	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	126	4	4	2	I	1	0	808	1	Ⴊ	cut_r_stereo_44KHz.wav
2	127	2	1	0	C	2	0	1213	0	Ⴂ	cut_ui_stereo_44KHz.wav
2	128	3	3	2	I	1	0	1049	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	129	4	4	2	I	1	0	1093	1	Ⴊ	cut_r_stereo_44KHz.wav
2	130	2	1	0	C	1	1	1276	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	131	1	2	0	C	1	1	961	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	132	3	4	2	I	1	0	759	1	Ⴟ	cut_r_stereo_44KHz.wav
2	133	1	1	1	C	2	1	1010	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	134	4	3	2	I	1	0	1465	1	Ⴊ	cut_oei_stereo_44KHz.wav
2	135	2	2	1	C	2	1	974	1	Ⴂ	cut_ei_stereo_44KHz.wav
2	136	3	3	2	I	1	0	680	1	Ⴟ	cut_oei_stereo_44KHz.wav
2	137	4	3	2	I	1	0	699	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	138	2	1	0	C	1	1	1514	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	139	3	4	2	I	1	0	687	0	Ⴟ	cut_r_stereo_44KHz.wav
2	140	1	2	0	C	2	0	1978	0	Ⴡ	cut_ei_stereo_44KHz.wav
2	141	2	2	1	C	0	0	0	0	Ⴂ	cut_ei_stereo_44KHz.wav
2	142	4	4	2	I	1	0	796	1	Ⴊ	cut_r_stereo_44KHz.wav
2	143	1	1	1	C	2	1	891	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	144	3	3	2	I	1	0	874	1	Ⴟ	cut_oei_stereo_44KHz.wav
2	145	2	2	1	C	1	0	1286	0	Ⴂ	cut_ei_stereo_44KHz.wav
2	146	1	2	0	C	1	1	693	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	147	3	3	2	I	2	0	1115	0	Ⴟ	cut_oei_stereo_44KHz.wav
2	148	4	3	2	I	1	0	1107	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	149	1	1	1	C	2	1	1104	1	Ⴡ	cut_ui_stereo_44KHz.wav
2	150	4	4	2	I	1	0	863	1	Ⴊ	cut_r_stereo_44KHz.wav
2	151	3	4	2	I	1	0	763	1	Ⴟ	cut_r_stereo_44KHz.wav
2	152	2	1	0	C	1	1	1143	1	Ⴂ	cut_ui_stereo_44KHz.wav
2	153	4	3	2	I	2	0	1297	0	Ⴊ	cut_oei_stereo_44KHz.wav
2	154	1	2	0	C	1	1	786	1	Ⴡ	cut_ei_stereo_44KHz.wav
2	155	3	3	2	I	1	0	728	0	Ⴟ	cut_oei_stereo_44KHz.wav
