subjID	trial	choice	RT
s006_RL	109	2	0.403
s006_RL	111	1	0.336
s006_RL	113	2	0.388
s006_RL	115	2	1.07
s006_RL	116	2	0.319
s006_RL	117	1	0.397
s006_RL	118	1	0.103
s006_RL	119	2	0.47
s006_RL	120	2	0.689
s006_RL	121	2	0.28
s006_RL	122	1	0.438
s006_RL	123	2	0.311
s006_RL	124	2	0.857
s006_RL	125	2	0.394
s006_RL	126	2	1.886
s006_RL	127	2	0.87
s006_RL	129	2	0.621
s006_RL	130	2	1.488
s006_RL	131	1	0.379
s006_RL	132	2	0.151
s006_RL	134	1	0.757
s006_RL	135	1	0.513
s006_RL	136	2	0.323
s006_RL	137	1	0.82
s006_RL	138	2	0.351
s006_RL	139	2	0.127
s006_RL	140	1	0.358
s006_RL	141	2	0.472
s006_RL	142	1	1.169
s006_RL	143	2	0.579
s006_RL	144	2	0.434
s006_RL	145	2	0.379
s006_RL	146	1	0.443
s006_RL	147	1	1.619
s006_RL	148	2	0.523
s006_RL	149	2	0.559
s006_RL	150	1	0.371
s006_RL	151	1	0.182
s006_RL	153	2	1.469
s006_RL	154	2	0.75
s006_RL	155	2	0.652
s006_RL	156	2	0.566
s006_RL	157	1	0.343
s006_RL	158	1	0.534
s006_RL	159	1	0.43
s006_RL	160	2	0.355
s006_RL	161	2	0.567
s006_RL	162	2	0.655
s006_RL	163	1	0.595
s006_RL	164	2	0.687
s006_RL	165	2	0.792
s006_RL	166	2	0.146
s006_RL	167	1	0.706
s006_RL	168	2	0.288
s006_RL	169	1	1.65
s006_RL	170	1	0.431
s006_RL	171	2	0.182
s006_RL	172	2	0.267
s006_RL	173	2	0.481
s006_RL	174	1	0.255
s006_RL	175	2	1.113
s006_RL	176	2	0.235
s006_RL	177	2	0.614
s006_RL	178	1	0.14
s006_RL	180	2	0.916
s006_RL	181	2	0.753
s006_RL	182	2	0.727
s006_RL	184	1	1.494
s006_RL	185	1	0.218
s006_RL	186	1	0.31
s006_RL	187	1	0.352
s006_RL	188	1	0.378
s006_RL	189	1	0.848
s006_RL	191	1	1.286
s006_RL	192	2	1.5
s006_RL	193	2	0.647
s006_RL	194	2	0.605
s006_RL	195	2	0.337
s006_RL	196	2	0.788
s006_RL	197	2	0.387
s006_RL	198	2	0.335
s006_RL	199	2	0.157
s006_RL	200	2	1.075
