subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-03,2,53,11,12,11,1,1.146,1,12,122263,123409,126248,0.34390283535,0.762887579542774,0.947456435970758,0.65609716465,0.57245
biokurs19-03,2,54,12,14,12,2,1.045,0,14,131594,132639,135482,-0.6125215,0.760711607984597,0.94475402173232,0.6125215,0.6125215
biokurs19-03,2,55,12,10,10,2,0.953,1,12,140559,141512,144931,0.374026005,0.795690073365946,0.988194986082273,0.625973995,0.655398005
biokurs19-03,2,56,13,12,12,1,1.523,0,13,149667,151190,153026,-0.70127586535,0.812569432583723,1.00915804532559,0.70127586535,0.6072785
biokurs19-03,2,57,10,13,13,2,1.593,1,10,156946,158539,160564,0.365230995,0.799138193062396,0.992477325034963,0.634769005,0.65215581535
biokurs19-03,2,58,13,11,11,1,1.506,0,13,164866,166372,168882,-0.6801703631245,0.832410064914209,1.03379881193306,0.6801703631245,0.66033517465
biokurs19-03,2,59,14,9,9,1,1.183,0,14,181970,183153,186300,-0.639644995,0.794397213299043,0.986589338508444,0.639644995,0.639644995
biokurs19-03,2,60,12,15,12,1,1.398,1,15,190864,192262,194635,0.2496348240755,0.821424929201631,1.0201559924535,0.7503651759245,0.57245
biokurs19-03,2,61,11,16,11,1,1.02,1,16,200094,201114,204461,0.272217711456785,0.832284785244727,1.03364322278423,0.727782288543215,0.6125215
biokurs19-03,2,62,9,13,9,1,0.916,1,13,209528,210444,213502,0.31557985535,0.849813491912765,1.05541272905517,0.68442014465,0.6841117124245
biokurs19-03,2,63,10,11,10,1,0.874,1,11,219085,219959,222955,0.3021932775755,0.897076797278719,1.11411066051325,0.6978067224245,0.74683752834519
biokurs19-03,2,64,13,10,13,1,1.186,1,10,227071,228257,231114,0.268000467705785,0.900998536803173,1.11898120428967,0.731999532294215,0.718960251854785
biokurs19-03,2,65,16,10,10,2,1.744,1,16,236191,237935,239806,0.23071253051538,0.884683050445979,1.09871843822867,0.76928746948462,0.655398005
biokurs19-03,2,66,11,9,9,2,0.987,1,11,244513,245500,247960,0.2934892654755,0.934945020220166,1.16114051459235,0.7065107345245,0.799116155329353
biokurs19-03,2,67,14,13,13,2,1.436,1,14,252842,254278,257119,0.24924043496638,0.87905953103949,1.0917343952355,0.75075956503362,0.66486984535
biokurs19-03,2,68,9,11,9,1,0.993,1,11,262159,263152,266156,0.272945016892215,0.982438074634354,1.22012377932921,0.727054983107785,0.855054286202408
biokurs19-03,2,69,12,10,12,1,1.255,1,10,270873,272128,274735,0.232160386390215,0.96453415436222,1.19788828232307,0.767839613609785,0.785437346620697
biokurs19-03,2,70,13,15,13,1,1.113,1,15,279370,280483,283394,0.231793604518733,0.857386832593422,1.0648183224376,0.768206395481267,0.6125215
biokurs19-03,2,71,14,12,12,2,0.817,1,14,288293,289110,292494,0.2159091593429,0.92865753120494,1.15333186480788,0.7840908406571,0.7114107345245
biokurs19-03,2,72,10,16,10,1,0.882,1,16,297804,298686,301959,0.159582039115854,0.9573414072604,1.1889553612523,0.840417960884146,0.70127586535
biokurs19-03,2,73,16,12,12,2,0.769,1,16,305731,306500,310297,0.200795518188897,0.962232040850968,1.19502920803603,0.799204481811103,0.7503651759245
biokurs19-03,2,74,13,14,13,1,0.859,1,14,315588,316447,319216,0.215568052202422,0.959792742317662,1.19199975893159,0.784431947797578,0.761209485941215
biokurs19-03,2,75,9,11,11,2,1.164,1,9,325331,326495,328481,0.0850919137634232,1.03146962002205,1.28101774914715,0.914908086236577,0.74616113429024
biokurs19-03,2,76,9,10,9,1,0.675,1,10,333020,333695,336679,0.201607586309443,1.02458427083396,1.27246659616329,0.798392413690557,0.851588703622255
biokurs19-03,2,77,11,14,11,1,0.789,1,14,342488,343277,347205,0.0791354797999836,1.07760093678771,1.33830982486246,0.920864520200016,0.8144941499571
