"","BIRD_C_corrStay_B1","BIRD_C_corrStay_B2","BIRD_C_corrStay_B3","BIRD_C_corrStay_B4","BIRD_C_corrShift_B1","BIRD_C_corrShift_B2","BIRD_C_corrShift_B3","BIRD_C_corrShift_B4","BIRD_C_incorrStay_B1","BIRD_C_incorrStay_B2","BIRD_C_incorrStay_B3","BIRD_C_incorrStay_B4","BIRD_C_incorrShift_B1","BIRD_C_incorrShift_B2","BIRD_C_incorrShift_B3","BIRD_C_incorrShift_B4"
"s015",0.75,0.614583333333333,0.270833333333333,0.71875,0.104166666666667,0.15625,0.239583333333333,0.09375,0.0416666666666667,0.09375,0.239583333333333,0.0833333333333333,0.104166666666667,0.135416666666667,0.25,0.09375
"s016",0.822916666666667,0.739583333333333,0.875,0.8125,0.0833333333333333,0.09375,0.0520833333333333,0.09375,0.0208333333333333,0.03125,0,0,0.0729166666666667,0.114583333333333,0.0625,0.0833333333333333
"s017",0.78125,0.6875,0.5625,0.25,0.114583333333333,0.104166666666667,0.197916666666667,0.291666666666667,0.0208333333333333,0.125,0.0729166666666667,0.177083333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0.28125
"s018",0.84375,0.75,0.270833333333333,0.583333333333333,0.0729166666666667,0.104166666666667,0.25,0.15625,0.03125,0.03125,0.21875,0.114583333333333,0.0520833333333333,0.104166666666667,0.25,0.145833333333333
"s019",0.40625,0.3125,0.375,0.302083333333333,0.114583333333333,0.125,0.135416666666667,0.145833333333333,0.364583333333333,0.40625,0.333333333333333,0.40625,0.114583333333333,0.135416666666667,0.145833333333333,0.135416666666667
"s020",0.958333333333333,0.3125,0.3125,0.8125,0.0208333333333333,0.177083333333333,0.166666666666667,0.09375,0,0.322916666666667,0.354166666666667,0.0104166666666667,0.0208333333333333,0.177083333333333,0.166666666666667,0.0833333333333333
"s021",0.489583333333333,0.791666666666667,0.708333333333333,0.510416666666667,0.09375,0.09375,0.114583333333333,0.125,0.239583333333333,0.03125,0.0520833333333333,0.229166666666667,0.135416666666667,0.0833333333333333,0.104166666666667,0.125
"s022",0.708333333333333,0.791666666666667,0.864583333333333,0.864583333333333,0.104166666666667,0.0729166666666667,0.0625,0.0625,0.104166666666667,0.0625,0.0104166666666667,0.0104166666666667,0.0833333333333333,0.0729166666666667,0.0625,0.0520833333333333
"s023",0.229166666666667,0.28125,0.25,0.25,0.229166666666667,0.239583333333333,0.21875,0.208333333333333,0.3125,0.21875,0.3125,0.322916666666667,0.229166666666667,0.260416666666667,0.21875,0.21875
"s024",0.65625,0.625,0.739583333333333,0.78125,0.145833333333333,0.15625,0.0833333333333333,0.0833333333333333,0.0625,0.0833333333333333,0.0416666666666667,0.0729166666666667,0.135416666666667,0.135416666666667,0.104166666666667,0.0520833333333333
