subjID,block,trial,vStim,aStim,match,choice,rt,fb,iti,feedJitter,vFile,aFile,stimOnset,choice,feedbackOnset
6,1,6,1,1,1,1,1378,1,2720,1667,<U+053D>,norm_h.wav,50835,52213,54547
6,1,7,2,2,1,1,916,1,3569,1769,<U+00010A6C>,norm_n.wav,60147,61063,63947
6,1,8,3,4,0,2,1085,1,3164,940,<U+0539>,norm_b.wav,69146,70231,72131
6,1,9,4,4,1,1,978,1,2398,1490,<U+0553>,norm_b.wav,76558,77536,80077
6,1,10,2,1,0,2,869,1,2873,1931,<U+00010A6C>,norm_h.wav,84980,85849,88945
6,1,11,4,3,0,2,922,1,2869,1205,<U+0553>,norm_a.wav,93847,94769,97090
6,1,12,3,4,0,2,913,1,3162,1696,<U+0539>,norm_b.wav,102282,103195,106008
6,1,13,1,2,0,1,1675,0,3788,2163,<U+053D>,norm_n.wav,111833,113508,116039
6,1,14,4,3,0,2,1833,1,4089,1101,<U+0553>,norm_a.wav,122161,123994,125306
6,1,15,3,3,1,1,835,1,3374,1435,<U+0539>,norm_a.wav,130726,131561,134191
6,1,16,1,1,1,1,1832,1,2097,1726,<U+053D>,norm_h.wav,138320,140152,142091
6,1,17,2,2,1,1,742,1,2760,1353,<U+00010A6C>,norm_n.wav,146894,147636,150287
6,1,18,1,2,0,2,1707,1,3332,2009,<U+053D>,norm_n.wav,155662,157369,159708
6,1,19,4,4,1,1,743,1,3282,2176,<U+0553>,norm_b.wav,165034,165777,169244
6,1,20,2,2,1,1,798,1,2286,1592,<U+00010A6C>,norm_n.wav,173567,174365,177193
6,1,21,3,3,1,1,1213,1,2863,1760,<U+0539>,norm_a.wav,182091,183304,185895
6,1,22,1,1,1,1,1629,1,2548,834,<U+053D>,norm_h.wav,190487,192116,193360
6,1,23,4,4,1,1,1831,1,2872,535,<U+0553>,norm_b.wav,198260,200091,200830
6,1,24,2,1,0,2,834,1,3057,1433,<U+00010A6C>,norm_h.wav,205930,206764,209408
6,1,25,3,3,1,1,844,1,3269,1067,<U+0539>,norm_a.wav,214710,215554,217806
6,1,26,4,4,1,1,1096,1,2698,1412,<U+0553>,norm_b.wav,222548,223644,225991
