"","LSB_C_corrStay_B1","LSB_C_corrStay_B2","LSB_C_corrStay_B3","LSB_C_corrStay_B4","LSB_C_corrShift_B1","LSB_C_corrShift_B2","LSB_C_corrShift_B3","LSB_C_corrShift_B4","LSB_C_incorrStay_B1","LSB_C_incorrStay_B2","LSB_C_incorrStay_B3","LSB_C_incorrStay_B4","LSB_C_incorrShift_B1","LSB_C_incorrShift_B2","LSB_C_incorrShift_B3","LSB_C_incorrShift_B4"
"s023",0.479166666666667,0.21875,0.364583333333333,0.40625,0.208333333333333,0.270833333333333,0.239583333333333,0.1875,0.125,0.25,0.166666666666667,0.21875,0.1875,0.260416666666667,0.229166666666667,0.177083333333333
"s024",0.802083333333333,0.802083333333333,0.302083333333333,0.885416666666667,0.09375,0.09375,0.229166666666667,0.0520833333333333,0.03125,0.0208333333333333,0.260416666666667,0.0104166666666667,0.0729166666666667,0.0833333333333333,0.208333333333333,0.0520833333333333
"s025",0.84375,0.833333333333333,0.895833333333333,0.802083333333333,0.0729166666666667,0.09375,0.0520833333333333,0.09375,0.03125,0.0104166666666667,0.0208333333333333,0.03125,0.0520833333333333,0.0625,0.03125,0.0729166666666667
"s026",0.90625,0.791666666666667,0.895833333333333,0.802083333333333,0.0520833333333333,0.104166666666667,0.0520833333333333,0.09375,0.0104166666666667,0.0208333333333333,0.0104166666666667,0.03125,0.03125,0.0833333333333333,0.0416666666666667,0.0729166666666667
"s027",0.864583333333333,0.760416666666667,0.885416666666667,0.6875,0.0520833333333333,0.09375,0.0416666666666667,0.09375,0.0208333333333333,0.0416666666666667,0.03125,0.09375,0.0520833333333333,0.09375,0.0416666666666667,0.104166666666667
"s028",0.760416666666667,0.354166666666667,0.541666666666667,0.510416666666667,0.09375,0.177083333333333,0.177083333333333,0.1875,0.03125,0.291666666666667,0.104166666666667,0.125,0.114583333333333,0.166666666666667,0.166666666666667,0.177083333333333
"s029",0.59375,0.3125,0.354166666666667,0.572916666666667,0.15625,0.208333333333333,0.229166666666667,0.197916666666667,0.0625,0.260416666666667,0.1875,0.0625,0.1875,0.197916666666667,0.208333333333333,0.166666666666667
"s030",0.875,0.916666666666667,0.677083333333333,0.875,0.0729166666666667,0.0520833333333333,0.135416666666667,0.0729166666666667,0,0,0.0833333333333333,0,0.0520833333333333,0.03125,0.104166666666667,0.0520833333333333
"s031",0.916666666666667,0.760416666666667,0.677083333333333,0.864583333333333,0.0208333333333333,0.104166666666667,0.114583333333333,0.0729166666666667,0,0.0104166666666667,0.03125,0,0.0416666666666667,0.104166666666667,0.135416666666667,0.0520833333333333
"s032",0.75,0.770833333333333,0.729166666666667,0.802083333333333,0.0833333333333333,0.0729166666666667,0.114583333333333,0.0833333333333333,0.0104166666666667,0.104166666666667,0.0416666666666667,0.0104166666666667,0.125,0.0520833333333333,0.114583333333333,0.09375
"s033",0.854166666666667,0.958333333333333,0.833333333333333,0.5625,0.0625,0.0104166666666667,0.0729166666666667,0.1875,0.03125,0,0.03125,0.0520833333333333,0.0520833333333333,0.0208333333333333,0.0625,0.197916666666667
