"","BIRD_I_corrStay_B1","BIRD_I_corrStay_B2","BIRD_I_corrStay_B3","BIRD_I_corrStay_B4","BIRD_I_corrShift_B1","BIRD_I_corrShift_B2","BIRD_I_corrShift_B3","BIRD_I_corrShift_B4","BIRD_I_incorrStay_B1","BIRD_I_incorrStay_B2","BIRD_I_incorrStay_B3","BIRD_I_incorrStay_B4","BIRD_I_incorrShift_B1","BIRD_I_incorrShift_B2","BIRD_I_incorrShift_B3","BIRD_I_incorrShift_B4"
"s018",0.25,0.385416666666667,0.322916666666667,0.291666666666667,0.25,0.125,0.229166666666667,0.1875,0.260416666666667,0.364583333333333,0.25,0.291666666666667,0.239583333333333,0.114583333333333,0.1875,0.229166666666667
"s019",0.333333333333333,0.354166666666667,0.3125,0.333333333333333,0.104166666666667,0.145833333333333,0.208333333333333,0.03125,0.375,0.354166666666667,0.291666666666667,0.489583333333333,0.1875,0.135416666666667,0.166666666666667,0.145833333333333
"s020",0.364583333333333,0.354166666666667,0.270833333333333,0.395833333333333,0.197916666666667,0.125,0.229166666666667,0.114583333333333,0.322916666666667,0.385416666666667,0.260416666666667,0.375,0.114583333333333,0.125,0.239583333333333,0.104166666666667
"s021",0.364583333333333,0.364583333333333,0.375,0.4375,0.21875,0.15625,0.21875,0.114583333333333,0.239583333333333,0.354166666666667,0.28125,0.375,0.145833333333333,0.114583333333333,0.09375,0.0520833333333333
"s022",0.333333333333333,0.333333333333333,0.385416666666667,0.302083333333333,0.239583333333333,0.229166666666667,0.208333333333333,0.239583333333333,0.25,0.260416666666667,0.28125,0.270833333333333,0.177083333333333,0.177083333333333,0.125,0.1875
"s023",0.3125,0.260416666666667,0.229166666666667,0.270833333333333,0.239583333333333,0.302083333333333,0.260416666666667,0.229166666666667,0.260416666666667,0.208333333333333,0.239583333333333,0.270833333333333,0.1875,0.21875,0.270833333333333,0.229166666666667
"s024",0.395833333333333,0.416666666666667,0.416666666666667,0.354166666666667,0.15625,0.270833333333333,0.135416666666667,0.239583333333333,0.34375,0.21875,0.34375,0.25,0.104166666666667,0.0833333333333333,0.09375,0.145833333333333
"s025",0.375,0.385416666666667,0.354166666666667,0.416666666666667,0.1875,0.15625,0.1875,0.125,0.3125,0.354166666666667,0.3125,0.385416666666667,0.125,0.104166666666667,0.145833333333333,0.0729166666666667
"s027",0.364583333333333,0.302083333333333,0.3125,0.291666666666667,0.3125,0.15625,0.197916666666667,0.229166666666667,0.1875,0.302083333333333,0.291666666666667,0.270833333333333,0.114583333333333,0.197916666666667,0.1875,0.177083333333333
"s028",0.46875,0.322916666666667,0.25,0.291666666666667,0.0833333333333333,0.208333333333333,0.229166666666667,0.28125,0.40625,0.302083333333333,0.270833333333333,0.239583333333333,0.0416666666666667,0.166666666666667,0.229166666666667,0.1875
"s029",0.270833333333333,0.34375,0.354166666666667,0.354166666666667,0.260416666666667,0.21875,0.239583333333333,0.177083333333333,0.25,0.28125,0.260416666666667,0.322916666666667,0.21875,0.135416666666667,0.145833333333333,0.135416666666667
"s030",0.354166666666667,0.385416666666667,0.28125,0.302083333333333,0.1875,0.09375,0.166666666666667,0.260416666666667,0.302083333333333,0.385416666666667,0.34375,0.25,0.15625,0.135416666666667,0.208333333333333,0.1875
"s031",0.3125,0.395833333333333,0.3125,0.40625,0.197916666666667,0.1875,0.197916666666667,0.177083333333333,0.291666666666667,0.302083333333333,0.302083333333333,0.3125,0.1875,0.104166666666667,0.1875,0.09375
"s032",0.291666666666667,0.375,0.25,0.364583333333333,0.208333333333333,0.145833333333333,0.239583333333333,0.21875,0.28125,0.354166666666667,0.260416666666667,0.28125,0.1875,0.125,0.239583333333333,0.135416666666667
"s033",0.322916666666667,0.229166666666667,0.270833333333333,0.28125,0.21875,0.25,0.260416666666667,0.15625,0.28125,0.260416666666667,0.239583333333333,0.354166666666667,0.177083333333333,0.25,0.229166666666667,0.208333333333333
"s034",0.270833333333333,0.4375,0.364583333333333,0.25,0.229166666666667,0.166666666666667,0.1875,0.145833333333333,0.260416666666667,0.322916666666667,0.302083333333333,0.364583333333333,0.229166666666667,0.0729166666666667,0.145833333333333,0.229166666666667
